Fecha,Ultima actualizacion,Topic,Fuente,Resumen noticia,Link,Analisis sentimental
"lunes, 19 de diciembre de 2022",Hace 11 horas,Inicio,20minutos.es,Guerra de reseñas de Google en Árticus: el caos de la Navidad madrileña alcanza internet,https://news.google.com/articles/CBMiqAFodHRwczovL3d3dy4yMG1pbnV0b3MuZXMvbm90aWNpYS81MDg1NzA0LzAvYXJ0aWN1cy1zZW5hbGEtY29tby1yZXNwb25zYWJsZXMtZGVsLWNhb3MtYS1sYXMtcGVyc29uYXMtcXVlLW5vLWxsZWdhcm9uLXB1bnR1YWxlcy15LWEtbG9zLXF1ZS1uby1zZS1yZWdpc3RyYXJvbi1wcmV2aWFtZW50ZS_SAQA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 8 horas,Inicio,EL PAÍS,Teresa Rodríguez deja su escaño y vuelve a su plaza de profesora de instituto,https://news.google.com/articles/CBMiiwFodHRwczovL2VscGFpcy5jb20vZXNwYW5hL21hZHJpZC8yMDIyLTEyLTE5L2d1ZXJyYS1kZS1yZXNlbmFzLWRlLWdvb2dsZS1lbi1lbC1hcnRpY3VzLWVsLWNhb3MtZGUtbGEtbmF2aWRhZC1tYWRyaWxlbmEtYWxjYW56YS1pbnRlcm5ldC5odG1s0gGaAWh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvbWFkcmlkLzIwMjItMTItMTkvZ3VlcnJhLWRlLXJlc2VuYXMtZGUtZ29vZ2xlLWVuLWVsLWFydGljdXMtZWwtY2Fvcy1kZS1sYS1uYXZpZGFkLW1hZHJpbGVuYS1hbGNhbnphLWludGVybmV0Lmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 4 horas,Inicio,elDiario.es,Teresa Rodríguez renuncia a su escaño en el Parlamento andaluz,https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmVsZGlhcmlvLmVzL2FuZGFsdWNpYS90ZXJlc2Etcm9kcmlndWV6LWRlamEtZXNjYW5vLXZ1ZWx2ZS1wbGF6YS1wcm9mZXNvcmEtaW5zdGl0dXRvXzFfOTgwNzc5NC5odG1s0gFyaHR0cHM6Ly93d3cuZWxkaWFyaW8uZXMvYW5kYWx1Y2lhL3RlcmVzYS1yb2RyaWd1ZXotZGVqYS1lc2Nhbm8tdnVlbHZlLXBsYXphLXByb2Zlc29yYS1pbnN0aXR1dG9fMV85ODA3Nzk0LmFtcC5odG1s?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 4 horas,Inicio,ABC de Sevilla,Teresa Rodríguez deja su escaño en el Parlamento andaluz pero seguirá en la política,https://news.google.com/articles/CBMibGh0dHBzOi8vc2V2aWxsYS5hYmMuZXMvYW5kYWx1Y2lhL3RlcmVzYS1yb2RyaWd1ZXotcmVudW5jaWEtZXNjYW5vLXBhcmxhbWVudG8tYW5kYWx1ei0yMDIyMTIxOTE4Mzk1NS1udHMuaHRtbNIBcGh0dHBzOi8vc2V2aWxsYS5hYmMuZXMvYW5kYWx1Y2lhL3RlcmVzYS1yb2RyaWd1ZXotcmVudW5jaWEtZXNjYW5vLXBhcmxhbWVudG8tYW5kYWx1ei0yMDIyMTIxOTE4Mzk1NS1udHNfYW1wLmh0bWw?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 4 horas,Inicio,EL PAÍS,Teresa Rodríguez deja el escaño y compatibilizará la portavocía de Adelante Andalucía con la docencia,https://news.google.com/articles/CBMifmh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMi0xMi0xOS90ZXJlc2Etcm9kcmlndWV6LWRlamEtc3UtZXNjYW5vLWVuLWVsLXBhcmxhbWVudG8tYW5kYWx1ei1wZXJvLXNlZ3VpcmEtZW4tbGEtcG9saXRpY2EuaHRtbNIBjQFodHRwczovL2VscGFpcy5jb20vZXNwYW5hLzIwMjItMTItMTkvdGVyZXNhLXJvZHJpZ3Vlei1kZWphLXN1LWVzY2Fuby1lbi1lbC1wYXJsYW1lbnRvLWFuZGFsdXotcGVyby1zZWd1aXJhLWVuLWxhLXBvbGl0aWNhLmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 4 horas,Inicio,Público,Unidas Podemos pide que la justicia de la UE se pronuncie sobre “la falta de imparcialidad” de dos magistrados del Constitucional,https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LnB1YmxpY28uZXMvcG9saXRpY2EvdGVyZXNhLXJvZHJpZ3Vlei1kZWphLWVzY2Fuby1zZXJhLXBvcnRhdm96LWFkZWxhbnRlLWFuZGFsdWNpYS1pbnN0aXR1dG8uaHRtbNIBcGh0dHBzOi8vd3d3LnB1YmxpY28uZXMvcG9saXRpY2EvdGVyZXNhLXJvZHJpZ3Vlei1kZWphLWVzY2Fuby1zZXJhLXBvcnRhdm96LWFkZWxhbnRlLWFuZGFsdWNpYS1pbnN0aXR1dG8uaHRtbC9hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 13 horas,Inicio,EL PAÍS,UP pide que TJUE se pronuncie sobre la falta de imparcialidad de Trevijano y Narváez,https://news.google.com/articles/CBMiqQFodHRwczovL2VscGFpcy5jb20vZXNwYW5hLzIwMjItMTItMTkvdW5pZGFzLXBvZGVtb3MtcGlkZS1xdWUtbGEtanVzdGljaWEtZGUtbGEtdWUtc2UtcHJvbnVuY2llLXNvYnJlLWxhLWZhbHRhLWRlLWltcGFyY2lhbGlkYWQtZGUtZG9zLW1hZ2lzdHJhZG9zLWRlbC1jb25zdGl0dWNpb25hbC5odG1s0gG4AWh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMi0xMi0xOS91bmlkYXMtcG9kZW1vcy1waWRlLXF1ZS1sYS1qdXN0aWNpYS1kZS1sYS11ZS1zZS1wcm9udW5jaWUtc29icmUtbGEtZmFsdGEtZGUtaW1wYXJjaWFsaWRhZC1kZS1kb3MtbWFnaXN0cmFkb3MtZGVsLWNvbnN0aXR1Y2lvbmFsLmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 11 horas,Inicio,Europa Press,Unidas Podemos recurre a la Justicia europea para apartar a los magistrados del Constitucional con el mandato caducado,https://news.google.com/articles/CCAiC0VLMXhnUURYNEh3mAEB?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 14 horas,Inicio,elDiario.es,Unidas Podemos incrementa la presión contra el Constitucional y Echenique planea no acatar el fallo,https://news.google.com/articles/CBMigwFodHRwczovL3d3dy5lbGRpYXJpby5lcy9wb2xpdGljYS91bmlkYXMtcmVjdXJyZS1qdXN0aWNpYS1ldXJvcGVhLWFwYXJ0YXItbWFnaXN0cmFkb3MtY29uc3RpdHVjaW9uYWwtbWFuZGF0by1jYWR1Y2Fkb18xXzk4MDQ3NzAuaHRtbNIBhwFodHRwczovL3d3dy5lbGRpYXJpby5lcy9wb2xpdGljYS91bmlkYXMtcmVjdXJyZS1qdXN0aWNpYS1ldXJvcGVhLWFwYXJ0YXItbWFnaXN0cmFkb3MtY29uc3RpdHVjaW9uYWwtbWFuZGF0by1jYWR1Y2Fkb18xXzk4MDQ3NzAuYW1wLmh0bWw?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 52 minutos,Inicio,ABC.es,Archivada la causa de las supuestas donaciones reflejadas en la caja B del PP,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmFiYy5lcy9lc3BhbmEvdW5pZGFzLXBvZGVtb3MtaW5jcmVtZW50YS1wcmVzaW9uLWNvbnN0aXR1Y2lvbmFsLWVjaGVuaXF1ZS1wbGFuZWEtMjAyMjEyMTkyMTE5MDYtbnQuaHRtbNIBdmh0dHBzOi8vd3d3LmFiYy5lcy9lc3BhbmEvdW5pZGFzLXBvZGVtb3MtaW5jcmVtZW50YS1wcmVzaW9uLWNvbnN0aXR1Y2lvbmFsLWVjaGVuaXF1ZS1wbGFuZWEtMjAyMjEyMTkyMTE5MDYtbnRfYW1wLmh0bWw?hl=es&gl=ES&ceid=ES%3Aes,0
